accuracy,loss,val_accuracy,val_loss,learning_rate
0.6301369667053223,1.0919301509857178,0.6419354677200317,1.0673366785049438,0.0010000000474974513
0.6820776462554932,0.913010835647583,0.8096774220466614,0.5711330771446228,0.0010000000474974513
0.7437214851379395,0.7961268424987793,0.7903226017951965,0.6118397116661072,0.0010000000474974513
0.7648401856422424,0.6835711002349854,0.8258064389228821,0.5787467956542969,0.0010000000474974513
0.797374427318573,0.5840134024620056,0.8483871221542358,0.4344761073589325,0.0010000000474974513
0.7905251383781433,0.5875751972198486,0.8935483694076538,0.2966909110546112,0.0010000000474974513
0.8344748616218567,0.481117844581604,0.874193549156189,0.37490665912628174,0.0010000000474974513
0.8453196287155151,0.488844096660614,0.8709677457809448,0.3318786025047302,0.0010000000474974513
0.8767123222351074,0.3616432547569275,0.9419354796409607,0.17098143696784973,0.0005000000237487257
0.8915525078773499,0.33632349967956543,0.9709677696228027,0.11694073677062988,0.0005000000237487257
